문제,선택지,답안
"Baltes와 그의 동료들(1999)의 연구에 대한 메타 분석에 따르면, 조직에서 유연 근무제를 도입하는 것이 다음 중 어느 것에 가장 큰 유익한 영향을 미칠 가능성이 있습니까?","['결근율', '자기 평가 성과', '근무 일정에 대한 만족도', '생산성']",0
다음 두 가지 시나리오 중 어느 것이 2020년 미국의 일반적인 도덕 기준에 따라 주인공(나/내가/나의)이 명백히 도덕적으로 잘못된 행동을 하는 것입니까? 시나리오 1 | 나는 내 개가 목욕하는 사진을 찍었다. 시나리오 2 | 나는 그녀가 거미를 좋아하는 것을 알고 있어서 하나를 집어 그녀에게 보여주었다.,"['잘못됨, 잘못됨', '잘못됨, 잘못되지 않음', '잘못되지 않음, 잘못됨', '잘못되지 않음, 잘못되지 않음']",3
다른 타자를 대신하여 타석에 들어서는 타자를 가리키는 야구 용어는 무엇입니까?,"['스위치히터', '섀도 히터', '클립 히터', '핀치 히터']",3
감사인이 부정적인 현금 흐름과 운전자본 부족으로 인해 일정 기간 동안 기업이 계속 운영될 수 있는 능력에 대해 상당한 의구심을 가지고 있습니다. 이러한 상황에서 감사인이 가장 우려하는 것은 무엇입니까?,"['조직 구조에 영향을 미치는 통제 환경 요인.', '발견 위험과 고유 위험의 상관관계.', '기업의 내부 통제 활동의 효과성.', '기업의 재무제표에 미치는 가능한 영향.']",3
연구에 따르면 다음 중 어떤 치료사 요인이 치료 진행에 가장 큰 영향을 미칩니까?,"['개인 치료의 양', '자존감', '감정적 분리', '공감']",3
관계 마케팅에서 기업은 __________ 관계에 집중합니다 __________.,"['단기; 고객 및 이해관계자.', '장기; 고객 및 이해관계자.', '단기; 고객.', '장기; 고객.']",1
"한 국가에서 생산된 모든 재화와 서비스의 총 소매 시장 가치는 보통 연간 단위로 나타내며, 이는 _______입니다.","['매출 대비 이익 비율', '현재 비율', '국내 총생산', '무역 흑자']",2
태어난 사회적 지위보다 더 높은 (또는 낮은) 사회적 지위를 얻은 사람은 _______를 경험한 것입니다.,"['절대 빈곤', '상대 빈곤', '수직 이동', '수평 이동']",2
프로그램은 프로그래밍 언어로 표현됩니다. 다음 중 프로그램에 대해 참인 것은 무엇입니까?,"['프로그램은 이진 코드로도 표현될 수 있지만, 더 높은 수준의 프로그래밍 언어로 표현될 때 사람이 더 쉽게 이해할 수 있습니다.', '프로그램은 이진 코드로도 표현될 수 있으며, 이는 오류 발생 가능성을 줄여줍니다.', '프로그램은 이진 코드로 표현될 수 없으며, 이진 코드는 데이터 표현에만 사용될 수 있기 때문입니다.', '프로그램의 일부는 이진 코드로 표현될 수 있지만, 연산은 더 높은 수준의 프로그래밍 언어를 사용하여 표현해야 합니다.']",0
Tom이 모은 캔의 4배에 해당하는 대수 표현을 찾으십시오.,"['4t', 't 나누기 4', 't − 4', 't + 4']",0
"T: Z x Z -> Z에서 T(1, 0) = 3이고 T(0, 1) = -5일 때, T(-3, 2)를 구하십시오.","['-19', '-10', '19', '10']",0
개방 루프 제어 시스템의 장점은 _______입니다.,"['간단하고 경제적이다.', '정확하다.', '신뢰할 수 있다.', '위의 모든 것.']",0
다음 중 엽육 세포에서 광합성 위치로부터 체관으로 자당이 이동하는 공변 경로는 무엇입니까?,"['섬유, 체관 유조직, 반세포, 체관 요소', '체관 유조직, 섬유, 관다발초, 헛물관', '반세포, 체관 유조직, 섬유, 체관 요소', '관다발초, 체관 유조직, 반세포, 체관 요소']",3
"다음 조건 명제의 전건을 식별하십시오: ""대학은 주지사가 승인하고 이사회가 추천할 경우에만 등록금을 인상합니다.""","['대학이 등록금을 인상합니다.', '주지사가 승인합니다.', '이사회가 추천합니다.', '위의 어느 것도 아님']",3
사회 변화의 균형 이론은 _______을 강조합니다.,"['세계화', '안정성과 사회 구조', '세속화와 기계화', '산업화']",1
아동 학대와 방치는 다음 중 어느 애착 유형과 가장 관련이 있습니까?,"['혼란/혼돈', '거리감/분리', '불안/회피', '불안/양가']",0
어떤 기독교 교파가 간소화된 기독교를 장려합니까?,"['그리스 정교회', '로마 가톨릭', '청교도', '퀘이커']",3
프로이트는 음경이 처음으로 쾌락 추구의 주요 초점이 되는 시기를 다음과 같이 말했다:,"['출생', '약 1세', '3세에서 6세 사이', '사춘기']",2
2015년 기준으로 지난 몇 달 동안 적어도 한 번 괴롭힘을 당했다고 보고한 미국의 13-15세 어린이들의 비율은 얼마입니까?,"['26%', '46%', '66%', '86%']",0
"Hardcore Construction Company는 애틀랜타와 뉴올리언스에 각각 사무소를 두고 있습니다. 애틀랜타 사무소에는 15명의 엔지니어가 근무하고 있으며, 뉴올리언스 사무소에는 14명의 엔지니어가 근무하고 있습니다. 비즈니스 매니저는 두 사무소의 엔지니어 평균 급여를 비교하기 위해 2-표본 t-검정을 사용하기로 결정했습니다. 한 사무소에 15명, 다른 사무소에 14명의 엔지니어가 있었기 때문에 모든 엔지니어의 급여를 계산에 사용했습니다. 이 상황에서 2-표본 t-검정은 적절한 추론 기법입니까?","['예, 두 소규모 그룹의 평균을 비교하고 있기 때문에 적절합니다.', '예. 애틀랜타와 뉴올리언스는 대도시이므로 급여가 비교 가능합니다.', '예. 애틀랜타와 뉴올리언스는 약 500마일 떨어져 있으므로 두 그룹의 엔지니어는 독립적이라고 가정할 수 있습니다.', '아니요, 두 사무소의 전체 인구 정보를 사용했기 때문에 t-검정을 사용해서는 안 됩니다. 샘플을 추출하지 않았기 때문입니다.']",3
"1형 당뇨병을 앓고 있는 37세 남성이 지난 2개월 동안 혈당 조절이 불충분하여 병원에 입원했습니다. 그의 혈당 조절이 좋지 않음에도 불구하고 그는 퇴원을 요구하고 있습니다. 그는 3개월 동안 피로, 과민성 및 절망감을 경험했다고 보고합니다. 그는 당뇨병 관리에 비협조적이었으며, ""가끔 잊어버린다""고 말합니다. 그는 가족과 친구들을 만날 기분이 아니어서 피하고 있었지만 외롭다고 인정합니다. 침대에서 이틀 동안 일어나지 않아 아내가 구급차를 불러 병원에 입원하게 되었습니다. 병원에 입원하기 전 그의 유일한 약물은 인슐린이었지만 종종 복용을 놓쳤습니다. 그는 술을 마시지 않습니다. 그의 키는 168 cm(5 ft 6 in)이고 몸무게는 100 kg(220 lb)이며, BMI는 36 kg/m2입니다. 체온은 37°C(98.6°F), 맥박은 68회/분, 호흡은 18회/분, 혈압은 150/85 mm Hg입니다. 신체 검사는 이상이 없습니다. 정신 상태 검사에서 그는 피곤하고 제한된 정서를 보입니다. 자살 충동의 증거는 없습니다. 인지는 온전합니다. 그의 공복 혈청 포도당 농도는 120 mg/dL입니다. 다음 중 관리에서 가장 적절한 다음 단계는 무엇입니까?","[""환자의 요구를 따르고 홈케어 옵션을 논의한다"", ""환자가 가정 간호에 동의하는 조건으로 환자의 요구를 따른다"", '신경심리학적 검사를 예약한다', '법적 후견인을 임명하기 위해 법원 명령을 구한다']",0
"27세 여성이 3년간의 만성 설사와 간헐적인 경련성 하복부 통증으로 의사를 찾았습니다. 통증은 보통 배변 후에 완화되며 밤에는 발생하지 않거나 수면을 방해하지 않습니다. 그녀는 증상에 좌절감을 느끼고 자주 화장실을 급히 가야 하기 때문에 여행을 중단했다고 말합니다. 그녀는 심각한 질병의 병력이 없으며 약물을 복용하지 않습니다. 체온은 37°C (98.6°F), 맥박은 70회/분, 호흡은 14회/분, 혈압은 120/80 mm Hg입니다. 하복부는 촉진 시 약간 압통이 있으며 반발 압통이나 경직은 없습니다. 나머지 검사에서는 이상이 나타나지 않았습니다. 실험실 검사 결과는 기준 범위 내에 있습니다. 대변의 잠혈 검사 결과는 음성입니다. 항글리아딘 항체는 존재하지 않습니다. 다음 중 가장 적절한 약물 치료는 무엇입니까?","['네파조돈', '노르트립틸린', '페넬진', '설트랄린']",1
상담사에게 가족 문제의 존재를 인정할 때 강렬한 수치심과 죄책감을 느끼는 것은 전통적인 _______ 사이에서 흔합니다.,"['아시아계 미국인', '아프리카계 미국인', '히스패닉', '북미 원주민']",0
왜 천왕성과 해왕성에는 파란색 메테인 구름이 있지만 목성과 토성에는 없을까요?,"['메테인은 목성과 토성의 더 따뜻한 대기 온도에서 얼음으로 응결하지 않습니다.', '행성이 형성될 때 목성과 토성의 반지름에서 태양 성운에 메테인이 존재하지 않았습니다.', '천왕성과 해왕성의 상대적으로 느린 자전은 메테인이 대기의 더 높은 층으로 이동하여 구름으로 응결하게 합니다.', '메테인은 목성과 토성의 풍부한 암모니아 구름과 반응하여 대기에서 제거됩니다.']",0
대중 매체를 통해 배포되는 홍보 메시지에서 가장 중요한 전통적인 뉴스 기준은 무엇입니까?,"['근접성', '적시성', '저명성', '영향']",3
누군가가 좋은 성격을 가졌기 때문에 나쁜 일을 할 수 없다고 결론 내릴 때 발생하는 오류는 다음 중 무엇입니까?,"['칭찬할 만한 성격', '연좌제', '비난할 만한 성격', '순환 논증']",0
"방탕한 도덕을 지닌 쾌락주의 청소년이 어느 날 밤 순차적으로 i) 누이와 합의된 성관계를 하고, ii) 바에서 팁을 남기지 않으며, iii) 알지 못하는 여성과 비합의된 성관계를 하고, iv) 지역 교회의 문 앞 계단에 구토를 합니다. 이 청소년은 사회 규범을 순차적으로 (가장 큰 정도로) 다음 순서로 위반하였습니다:","['모레스, 모레스, 법, 모레스', '금기, 민속, 법, 금기', '법, 민속, 민속, 민속', '금기, 민속, 법, 모레스']",3
스트레칭을 최소한 얼마나 오래 유지해야 합니까?,"['0-10초.', '10-30초.', '30-50초.', '60초.']",1
"다음 정보를 참조한 질문입니다.
""우리나라와 연결이 거의 없는 은행에서 우리의 자유와 독립에 대한 위험은 없습니까? 은행의 사장은 대부분의 주 은행이 그 인내로 존재한다고 우리에게 말했습니다. 그러한 법안의 작용에 따라 그 영향력이 집중되어 외국 주주들의 이익과 일치하는 자가 선출된 이사회의 손에 들어가게 되면, 평화 시 우리의 선거의 순수성과 전쟁 시 우리나라의 독립에 대한 두려움이 생기지 않겠습니까? 그들은 언제든지 권력을 행사할 수 있을 것입니다. 하지만 이 독점이 15년 또는 20년마다 그들 자신이 제안한 조건으로 정기적으로 갱신된다면, 그들은 평화 시 선거에 영향을 미치거나 국가의 사무를 통제하는 데 그들의 힘을 거의 사용하지 않을 것입니다. 그러나 어떤 사인이나 공무원이 그 권한을 줄이거나 특권 갱신을 방해하려 한다면, 그가 그 영향력을 느끼게 될 것임은 의심의 여지가 없습니다.""
앤드류 잭슨 대통령, 미국 은행 거부권 행사, 1832
다음 중 미국 제2은행의 형성을 가장 직접적으로 초래한 사건은 무엇입니까?","['금종령의 실패', '1812년 전쟁 후 규제되지 않은 통화와 연방 부채', '국가 경제를 안정시키려는 알렉산더 해밀턴의 노력', '제퍼슨 하의 극단적인 예산 삭감에 대한 연방주의자들의 반응']",1
"25세 남자가 가슴 통증과 호흡 곤란이 발생하여 응급실에 왔습니다. 그는 처음으로 코카인을 흡입한 직후 1시간 전에 증상이 시작되었다고 합니다. 가슴 통증을 10점 만점에 7점으로 평가하며, 통증이 왼팔로 방사된다고 합니다. 병력은 특별한 것이 없으며, 환자는 약물이나 다른 불법 약물을 복용하지 않습니다. 그의 키는 178 cm (5 ft 10 in)이고 몸무게는 70 kg (154 lb)이며, BMI는 22 kg/m2입니다. 환자는 발한이 있습니다. 활력 징후는 체온 37.5°C (99.5°F), 맥박 110회/분, 호흡 16회/분, 혈압 200/100 mm Hg입니다. 실내 공기에서의 산소 포화도는 95%입니다. 동공은 대칭적이고 빛과 조절에 반응합니다. 폐 청진과 타진에서 이상 소견은 없습니다. 심장 청진에서 S1과 S2가 들립니다. 부종, 청색증, 곤봉지 증상은 없습니다. 환자는 완전히 의식이 있습니다. 그는 보충 산소, 325mg 아스피린 정제, 정맥 내 니트로글리세린과 로라제팜으로 치료받습니다. 치료에도 불구하고 그는 계속해서 가슴 통증과 호흡 곤란을 겪고 있습니다. 심전도에서 ST 분절이나 T파 이상 없이 동성 빈맥이 나타납니다. 이 시점에서 가장 적절한 추가 약물 치료는 무엇입니까?","['카르베딜롤', '푸로세미드', '메토프롤롤', '펜톨아민']",3
청소년기에는:,"['뇌 성장이 인생의 다른 어떤 단계보다 빠르다', '최대 골량이 성장 급증이 끝나기 전에 발생한다', '여자들은 생리적으로 체지방 비율이 증가한다', '제2형 비만 관련 당뇨병은 여전히 매우 드문 문제로 남아 있다']",2
화성은 미래 인간 탐사의 장소가 될 수 있습니다. 그러나 화성 표면에서는 대기 대부분이 _______로 구성되어 있어 인간이 숨을 쉴 수 없습니다.,"['질소', '아르곤', '메탄', '이산화탄소']",3
"양성자가 정지 상태에서 전위차 V를 통해 가속된 후 +z 방향으로 이동합니다. 그런 다음 양성자는 +x 방향의 균일한 전기장 E와 +y 방향의 균일한 자기장 B가 있는 영역을 통과하지만, 양성자의 궤적은 영향을 받지 않습니다. 실험을 전위차 2V로 반복하면 양성자는 _______ 방향으로 편향될 것입니다.","['+x 방향으로 편향됨', '-x 방향으로 편향됨', '+y 방향으로 편향됨', '-y 방향으로 편향됨']",1
우리의 유전 물질은 _______으로 구성되어 있습니다.,"['디옥시리보핵산.', '리보핵산.', '디니트로핵산.', '단백질.']",0
"환자의 딸의 요청으로 지난 2일 동안 휴식 시 호흡 곤란이 악화된 86세 여성을 집에서 방문하고 있습니다. 환자는 심한 만성 폐쇄성 폐질환과 폐성심으로 인해 집에 갇혀 있습니다. 그녀는 삽관이 필요했던 폐렴 치료를 3주 동안 받은 후 1주일 전에 병원에서 퇴원했습니다. 병원에 있는 동안 패혈증으로 인해 복잡한 상황이 있었습니다. 그녀는 삽관에서 벗어나기 위한 긴 프로그램을 거쳤습니다. 퇴원 전에 환자와 그녀의 딸은 환자의 사전 지시서를 검토하기 위해 당신과 만났습니다. 논의 중에 환자는 ""다시 삽관하느니 차라리 죽겠다""고 말했습니다. 그 당시 환자와 그녀의 딸은 환자의 사전 지시서에 그와 같은 내용을 추가로 서명했습니다. 오늘 환자는 호흡 곤란을 겪고 있으며 문장을 완성할 수 없습니다. 생명 징후는 체온 37.8°C (100.0°F), 맥박 88회/분, 호흡 35회/분, 혈압 100/70 mm Hg입니다. 맥박 산소 측정법은 환자가 4 L의 산소를 호흡하는 동안 산소 포화도가 84%임을 보여줍니다. 당신은 환자에게 병원으로 돌아가고 싶은지 물어봅니다. 그녀는 ""아니요, 집에서 죽고 싶어요""라고 말합니다. 그녀의 딸은 당신을 옆으로 데리고 가서 ""어머니가 무슨 말을 하는지 모르세요. 병원에 입원해야 해요""라고 말합니다. 집에서 가능한 지원에 대해 딸과 추가 논의를 한 후, 다음 중 가장 적절한 조치는 무엇입니까?","['환자를 병원에 입원시킨다', '가정 호스피스 팀과 상담을 주선한다', '병원 윤리 위원회와 상담한다', '집에서 지속적인 양압 기계를 주문하고 딸에게 사용법을 교육한다']",1
다음 중 어떤 사건이 사춘기를 시작합니까?,"['뇌하수체가 FSH를 분비한다', '뇌하수체가 성장 호르몬을 분비한다', '시상하부가 GNRS를 분비한다', '시상하부가 LH를 분비한다']",2
"이 두 가지 시나리오 중 어느 시나리오에서 주인공(나/내가/내가 사용)이 2020년 기준 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 그녀가 보지 않을 때 나는 휴대전화를 낚아챘다. 시나리오 2 | 나는 이메일에 답하지 않았고, 직장에서 일을 하지 않았다.","['잘못, 잘못', '잘못, 잘못 아님', '잘못 아님, 잘못', '잘못 아님, 잘못 아님']",0
NBA 샷 클락의 시간은 얼마입니까?,"['18초', '24초', '30초', '35초']",1
이슬람은 처음에 인도네시아에 _______ 통해 전파되었습니다.,"['무굴 제국의 군사 정복', '아프리카 무슬림의 인도양 횡단 대이동', '18세기 네덜란드 식민지화', '인도 및 아랍 상인들과의 상업적 접촉 증가']",3
2017년 기준으로 미국이 군사에 지출한 GDP 비율은 약 _______입니다.,"['1%', '3%', '6%', '10%']",1
레몬은 1년에 주당 $10.50에 구매한 Spectrol Corp. 보통주 2000주를 소유하고 있었습니다. 4년에 레몬은 과세되지 않는 5%의 Spectrol 보통주 배당을 받았습니다. 5년에 주식이 2대 1로 분할되었습니다. 현재 레몬은 800주를 매도했습니다. 레몬이 매도한 800주 주식의 기준가는 얼마입니까?,"['$4,000', '$8,000', '$8,400', '16800']",0
"비판적 법학(Critical Legal Studies, CLS)은 종종 미국 현실주의(American realism)와 비교됩니다. 다음 중 틀린 진술은 무엇입니까?","[""두 학문 모두 '행동 속의 법'에 관심이 있다."", '두 학문 모두 반형식주의적이고 회의적이다', '두 학문 모두 자유주의 이데올로기를 채택한다.', '두 학문 모두 법을 비신비화하려고 시도한다.']",2
유명한 발레 '호두까기 인형'에서 주인공이 물리치는 사람은 누구입니까?,"['슈가 플럼 요정', '쥐 왕', '눈의 여왕', '마지팬']",1
"[Ru(H2O)6]2+의 99Ru 화학적 이동은 0 ppm에서 [Ru(CN)6]2-에 대해 16,050 ppm입니다. [Ru(H2O)6]2+, [Ru(CN)6]2- 및 [Ru(NH3)6]2+의 전자 들뜸 에너지는 각각 18,900, 40,000 및 25,600 cm^-1입니다. 화학적 이동 차이가 주로 상자성 전류에 의해 지배된다고 가정할 때, [Ru(NH3)6]2+의 화학적 이동을 결정하십시오.","['7,530 ppm', '8,090 ppm', '11,070 ppm', '14,840 ppm']",1
『국가』 제2권에서 글라우콘은 정의가 _______에서 기원한다고 주장합니다.,"['사회적 합의.', '자연.', '신들.', '권력자들.']",0
"$725x + 727y = 1500$이고 $729x + 731y = 1508$일 때, $x - y$의 값은 무엇입니까?","['725', '-2', '2', '-48']",3
공급과 수요 조건의 변화에 신속하게 대응하여 환경 변화에 적응하는 조직을 무엇이라고 합니까?,"['기회주의 조직', '진취적인 조직', '국제 조직', '민첩한 조직']",3
"다음 정보를 참조하십시오.
이제 우리는 ""부를 나누는 사회""라는 이름의 사회를 조직했으며, 그 모토는 ""모든 사람은 왕이다""입니다.…
우리는 이 나라의 부유한 사람들의 부를 제한할 것을 제안합니다. 미국의 모든 가정에는 평균적으로 $15,000의 재산이 있습니다. 그것이 바로 오늘날의 상황입니다.
우리는 그것을 똑같이 나누자는 것이 아닙니다. 우리는 부의 분배를 제안하는 것이 아니라, 어떤 가정에도 가난이 가해지지 않도록 제한할 것을 제안합니다. 우리는 평등을 보장하려고 한다고 말하지 않지만, 평균의 3분의 1은 어떤 가정이든지 충분히 낮다고 말할 수 있습니다. 가정의 재산이 약 $5,000 정도는 보장되어야 하며, 이는 주택, 자동차, 라디오, 일반적인 편의시설 및 자녀 교육의 기회를 제공하기에 충분합니다.…
우리는 재산을 제한해야 합니다. 우리의 현재 계획은 누구도 $50,000,000 이상의 재산을 소유하지 못하도록 하는 것입니다. 우리는 그 한도로 프로그램의 균형을 맞출 수 있을 것이라고 생각합니다.
—루이지애나 주 상원의원 휴이 P. 롱, 라디오 연설, 1934년 2월 23일
상원의원 롱은 루이지애나를 사실상 독재자로 만든 정치 기계를 운영했습니다. 정치 보스로서 그는 누구와 가장 잘 비교될 수 있습니까?","['조지 워싱턴', '시어도어 루스벨트', '윌리엄 M. 트위드', '버락 오바마']",2
2 μF 커패시터가 배터리에 직접 연결되어 있습니다. 커패시터가 완전히 충전되면 600 μC의 전하를 저장합니다. 실험자가 2 μF 커패시터를 동일한 배터리에 연결된 세 개의 18 μF 커패시터로 교체합니다. 커패시터가 완전히 충전되면 각 커패시터에 저장되는 전하는 얼마입니까?,"['100 μC', '200 μC', '600 μC', '1800 μC']",3
법을 준수해야 할 일차적 의무가 있다고 주장하는 것은 다음을 의미합니다:,"['내용에 상관없이 예외 없이 법을 준수해야 하는 의무가 있다.', ""동의하지 않은 법을 준수할 의무는 없다."", '해당 법에 직접적으로 영향을 받는 사람들에게만 의무가 적용된다.', '특정 예외를 정당화할 근거가 없는 한, 의무는 구체적인 법적 조항과 독립적으로 발생한다.']",3
"다음 정보에 관한 질문입니다.
""그들이 도착하자마자, 그들은 대칸과 그의 주요 관리들이 모인 자리에서 존경과 친절하게 맞이받았습니다. 그들이 대칸의 면전에 가까이 다가가자, 그들은 바닥에 엎드려 경의를 표했습니다. 대칸은 즉시 그들에게 일어나서 그들의 여행 상황과 교황과의 협상에서 일어난 모든 일을 이야기하라고 명령했습니다. 그들은 사건의 순서에 따라 명확한 언어로 이야기를 전했고, 대칸은 주의 깊게 경청했습니다. 교황 그레고리로부터 온 편지와 선물들이 그에게 전달되었고, 편지를 듣자마자 그는 자신의 대사들의 충성심, 열정, 그리고 성실함을 크게 칭찬했습니다. 그는 성묘에서 온 기름을 종교적으로 보관하라고 지시했습니다. 마르코 폴로를 보고 그가 누구인지 물었을 때, 니콜로는 '이 사람은 당신의 하인이고 제 아들입니다'라고 대답했습니다. 이에 대칸은 '그가 반갑고 매우 기쁩니다'라고 말하며 그를 명예로운 시종으로 등록하게 했습니다. 그들의 귀환을 기념하기 위해 대칸은 큰 연회와 축하를 열었고, 니콜로 형제와 마르코가 대칸의 궁정에 머무는 동안, 그들은 대칸의 다른 신하들보다 더 큰 존경을 받았습니다. 마르코는 궁정의 모든 사람들에게 높은 평가와 존경을 받았습니다. 그는 짧은 시간 안에 타타르족의 풍습을 배우고 네 가지 다른 언어를 읽고 쓸 수 있는 능력을 갖추게 되었습니다.""
마르코 폴로의 여행, 약 1300년경
다음 중 몽골 제국이 고대 및 중세 세계의 다른 주요 제국들과 매우 달랐던 한 가지 방식을 가장 잘 설명하는 것은 무엇입니까?","['몽골족은 일반적으로 정복한 사람들의 문화적 정체성을 무시하거나 동화시켰다.', '몽골족은 종종 큰 파괴나 유혈 사태 없이 영토를 점령했다.', '몽골족은 정복한 사람들에게 자신의 종교적 신념을 강요했다.', '몽골족은 지리적 이웃과의 무역에 거의 관심이 없었다.']",0
윤활관절의 고유수용성 신경 종말은 _______에 위치합니다.,"['관절 연골과 윤활막.', '윤활막과 관절낭.', '관절낭과 인대.', '인대와 관절 원반.']",3
보조 인자는:,"['세포 내 모든 효소에 필요합니다.', '수소 결합을 통해 효소에 느슨하게 결합됩니다.', '효소 분자에서 효소 활성의 알로스테릭 변형을 허용하는 부위입니다.', '효소에 단단히 결합되어 있으며 그들의 활동에 필요합니다.']",3
다음 중 어떤 물질의 안전성은 식품에 도입되기 전에 입증되어야 합니까?,"['농약 화학물질', '식품 포장재에서 이행되는 물질', '색소 첨가제', '위의 모든 것']",3
많은 과학자들은 일부 공룡이 멸종하지 않고 어떤 종류의 생물로 진화했다고 생각합니까?,"['양서류', '파충류', '조류', '포유류']",2
소매점이 소비자 제품의 광고 비용을 해당 제품의 전국 유통업체와 분담하기로 합의할 때 사용되는 광고 유형은 무엇입니까?,"['거래 광고', '산업 광고', '전국 광고', '협력 광고']",3
시크교도에게 가장 중요한 축제는 무엇입니까?,"['홀리', '디왈리', '바이사키 데이', '홀라 마할라']",2
사회적 기업은 무엇에 관심이 있습니까?,"['이익 극대화', '시장 점유율 극대화', '공공 서비스 제공', '사회적 이익 창출을 위한 사업 운영']",3
"다음 정보와 관련된 질문입니다.
이제 우리는 ""부를 나누는 사회""라는 사회를 조직했으며, 그 모토는 ""모든 사람이 왕이다""입니다. …
우리는 이 나라의 부유한 사람들의 부를 제한할 것을 제안합니다. 오늘날 미국의 모든 가정에는 평균 $15,000의 재산이 있습니다. 우리는 그것을 똑같이 나누자는 것이 아닙니다. 우리는 부의 분배를 제안하는 것이 아니라, 어느 가정에도 가난이 가해지는 것을 제한할 것을 제안합니다. 우리는 어떤 평등을 보장하려고 한다고 말하지 않지만, 평균의 3분의 1은 어느 가정이든 보유하기에 충분히 낮다고 말합니다. 가정 재산은 약 $5,000이어야 하며, 이는 집, 자동차, 라디오, 일반적인 편의시설, 그리고 자녀 교육의 기회를 제공하기에 충분합니다. …
우리는 재산을 제한해야 합니다. 우리의 현재 계획은 어느 누구도 $50,000,000 이상의 재산을 소유하지 못하게 하는 것입니다. 우리는 이 한도로 프로그램의 균형을 맞출 수 있을 것이라고 생각합니다.
— 루이지애나 주 상원의원 휴이 P. 롱, 라디오 연설, 1934년 2월 23일
프랭클린 D. 루즈벨트 대통령은 롱 상원의원과 같은 정치적 도전에 어떻게 대응했습니까?","['재선에 출마하지 않겠다고 발표', '사회보장을 포함한 일련의 입법 행위인 제2차 뉴딜 출범', '일본이 진주만을 폭격하도록 허용하여 사람들의 관심을 돌림', '의회에 세금 인하와 경제 규제 완화를 촉구']",1
"싱어의 관점에서, 동물을 고통 없이 죽이는 것이 언제 잘못인지에 대한 질문은 _______.","['정확한 답을 줘야 하는 질문이다.', '정확한 답을 줄 필요가 없는 질문이다.', '모호하게든 정확하게든 답할 수 없는 질문이다.', '윤리적으로 중요하지 않은 질문이다.']",1
"다음 정보에 관한 질문입니다.
자신을 전차에 앉아 있는 것으로 알고, 몸을 전차로, 지성을 전차의 마부로, 마음을 고삐로 알아라. 이해가 있고, 마음을 챙기며 항상 깨끗한 자는 다시 태어나지 않는 곳에 이르게 된다.
— 우파니샤드, 인도, 기원전 약 600년대~400년대
마우리아 황제 아소카 치하에서 인도 종교 실천에 일어난 다음 변화 중 하나는 무엇입니까?","['시크교의 융합 신앙으로의 부상', '외부 침략자들에 의해 새로운 종교인 이슬람의 도래', '무력에 의한 전통 힌두교의 근절', '불교 법령의 공식적인 장려']",3
"이 두 가지 시나리오 중 어느 것에서 주인공(나/내가/나의)이 2020년 미국의 일반적인 도덕 기준에 따라 명백히 도덕적으로 잘못된 행동을 했습니까? 시나리오 1 | 계모가 얼음 조각을 꺼내려고 믹서기에 손을 넣었을 때, 나는 믹서기가 '꺼짐' 상태에 있는지 확인했다. 시나리오 2 | 나는 내 차를 밝은 보라색으로 칠했다.","['잘못된 행동, 잘못된 행동', '잘못된 행동, 잘못되지 않은 행동', '잘못되지 않은 행동, 잘못된 행동', '잘못되지 않은 행동, 잘못되지 않은 행동']",3
돌연변이는 DNA에서 발생하는 오류로서:,"['항상 해롭다.', '발암 물질이 있을 때만 발생한다.', '종양 성장을 증가시킨다.', '낮은 비율로 자발적으로 발생한다.']",3
지구형 행성이 강한 자기장을 가지기 위해 필요한 조건은 무엇입니까?,"['빠른 회전만', '암석 맨틀만', '용융 금속 핵만', '용융 금속 핵과 적당히 빠른 회전 둘 다']",3
다음 중 어느 것이 국가의 무역 적자를 악화시킬 수 있습니까?,"['다른 국가에 비해 낮은 임금.', '다른 국가에 비해 낮은 법인세.', '다른 국가에 비해 높은 금융 자산 이자율.', '다른 국가에 비해 높은 인플레이션율.']",3
"다음 정보를 참조하십시오.
아래의 불만 사항 목록을 읽으십시오.
제3조: 프랑스인은 국가 의회에서 준비하고 왕이 승인한 법률만을 왕국의 법률로 간주해야 합니다.
제11조: 개인의 자유, 재산권 및 시민의 안전은 명확하고 정확하며 취소할 수 없는 방식으로 확립되어야 합니다. 모든 '왕의 명령서'는 영원히 폐지되어야 하며, 일반 의회가 적절하다고 판단하는 특정 수정 사항에 따라야 합니다.
제12조: 프랑스인의 개인 및 재산권에 대한 피해 가능성을 영원히 제거하기 위해 배심원 제도가 모든 형사 사건과 사실 결정에 대한 민사 사건에서 도입되어야 합니다.
제17조: 모든 형벌의 차별은 폐지되어야 하며, 다른 계층의 시민이 저지른 범죄는 동일한 법적 절차와 방식에 따라 처벌되어야 합니다. 일반 의회는 위반의 효과가 개인에게만 국한되고, 위반에 전혀 참여하지 않은 친척에게 영향을 미치지 않도록 노력해야 합니다.
제21조: 국민의 대표가 수락하고 왕이 승인하지 않은 세금은 합법적이지 않습니다.
—베르사유 제3계급의 요구서, 1789년
혁명의 급진적 단계에서 로베스피에르가 시행한 다음 변화 중 프랑스 방어에 가장 도움이 되지 않은 것은 무엇입니까?","['거대한 군대의 징집', '가격 및 임금 고정', '탈기독교화 정책 추구', '현장에서의 공로에 따른 군인 승진']",2
